"date","wind_prod"
2015-07-25,1344.29166666667
2015-07-26,1356
2015-07-27,1739.625
2015-07-28,1859.83333333333
2015-07-29,1739.58333333333
2015-07-30,611.291666666667
2015-07-31,824.166666666667
2015-08-01,676
2015-08-02,641.958333333333
2015-08-03,858.666666666667
2015-08-04,840.416666666667
2015-08-05,623.083333333333
2015-08-06,890.125
2015-08-07,1697.875
2015-08-08,1522.83333333333
2015-08-09,986.416666666667
2015-08-10,599.125
2015-08-11,688.833333333333
2015-08-12,935.958333333333
2015-08-13,2210.375
2015-08-14,1814.16666666667
2015-08-15,986.166666666667
2015-08-16,680.833333333333
2015-08-17,948.166666666667
2015-08-18,1116.16666666667
2015-08-19,571.916666666667
2015-08-20,459.041666666667
2015-08-21,637.291666666667
2015-08-22,1406.625
2015-08-23,2181.79166666667
2015-08-24,999.125
2015-08-25,509.916666666667
2015-08-26,1050.08333333333
2015-08-27,1470.875
2015-08-28,543
2015-08-29,342.25
2015-08-30,926.041666666667
2015-08-31,411.416666666667
2015-09-01,514.333333333333
2015-09-02,834.708333333333
2015-09-03,1094.33333333333
2015-09-04,1132.70833333333
2015-09-05,816.375
2015-09-06,533.958333333333
2015-09-07,537.541666666667
2015-09-08,525.75
2015-09-09,476.5
2015-09-10,603
2015-09-11,565.416666666667
2015-09-12,745.791666666667
2015-09-13,2090.91666666667
2015-09-14,911.25
2015-09-15,2891.41666666667
2015-09-16,3359.83333333333
2015-09-17,901.791666666667
2015-09-18,613.666666666667
2015-09-19,522.791666666667
2015-09-20,346.875
2015-09-21,552.583333333333
2015-09-22,1504.29166666667
2015-09-23,1250.16666666667
2015-09-24,669.166666666667
2015-09-25,247.458333333333
2015-09-26,244.583333333333
2015-09-27,330.791666666667
2015-09-28,1040.5
2015-09-29,462.625
2015-09-30,595.708333333333
2015-10-01,389.208333333333
2015-10-02,831.375
2015-10-03,349.833333333333
2015-10-04,3397.54166666667
2015-10-05,3839.75
2015-10-06,2022.25
2015-10-07,677.791666666667
2015-10-08,688.5
2015-10-09,1022.70833333333
2015-10-10,2642.58333333333
2015-10-11,1535.04166666667
2015-10-12,1713.16666666667
2015-10-13,1775.33333333333
2015-10-14,1232.58333333333
2015-10-15,334
2015-10-16,708.333333333333
2015-10-17,3305.33333333333
2015-10-18,1813.91666666667
2015-10-19,832.583333333333
2015-10-20,2814.25
2015-10-21,1910.08333333333
2015-10-22,1007.79166666667
2015-10-23,689.541666666667
2015-10-24,246.375
2015-10-25,1045.66666666667
2015-10-26,1743.16666666667
2015-10-27,1885.08333333333
2015-10-28,2345.29166666667
2015-10-29,1981.29166666667
2015-10-30,2454.33333333333
2015-10-31,1778.45833333333
2015-11-01,2401.66666666667
2015-11-02,1581.5
2015-11-03,1452.54166666667
2015-11-04,2204.70833333333
2015-11-05,1341.83333333333
2015-11-06,761.458333333333
2015-11-07,1016.45833333333
2015-11-08,1600.91666666667
2015-11-09,195.5
2015-11-10,231.791666666667
2015-11-11,67.8333333333333
2015-11-12,113.291666666667
2015-11-13,681.291666666667
2015-11-14,1016.375
2015-11-15,210.333333333333
2015-11-16,181.208333333333
2015-11-17,437.125
2015-11-18,281.958333333333
2015-11-19,204.583333333333
2015-11-20,927.875
2015-11-21,3602.54166666667
2015-11-22,2303.08333333333
2015-11-23,1488.79166666667
2015-11-24,1081.08333333333
2015-11-25,2861.33333333333
2015-11-26,2797.5
2015-11-27,1340.70833333333
2015-11-28,1265.08333333333
2015-11-29,511.333333333333
2015-11-30,676.25
2015-12-01,620.583333333333
2015-12-02,600.125
2015-12-03,1274.16666666667
2015-12-04,221.25
2015-12-05,310.625
2015-12-06,914.833333333333
2015-12-07,2044.58333333333
2015-12-08,638.625
2015-12-09,1068.5
2015-12-10,600.333333333333
2015-12-11,700.208333333333
2015-12-12,913.833333333333
2015-12-13,2538.33333333333
2015-12-14,3105.83333333333
2015-12-15,3028.75
2015-12-16,2184
2015-12-17,2261.29166666667
2015-12-18,1800.41666666667
2015-12-19,3307.58333333333
2015-12-20,1031.95833333333
2015-12-21,410.291666666667
2015-12-22,937.166666666667
2015-12-23,459.875
2015-12-24,1083.54166666667
2015-12-25,1408.66666666667
2015-12-26,2552.95833333333
2015-12-27,3445.91666666667
2015-12-28,3698.66666666667
2015-12-29,1213.95833333333
2015-12-30,2900.29166666667
2015-12-31,514.041666666667
2016-01-01,3084.125
2016-01-02,1353.58333333333
2016-01-03,3365.91666666667
2016-01-04,3327.75
2016-01-05,2976.20833333333
2016-01-06,2838.08333333333
2016-01-07,3681.83333333333
2016-01-08,2835.25
2016-01-09,3038.70833333333
2016-01-10,3855.25
2016-01-11,3163.75
2016-01-12,716.25
2016-01-13,1525.25
2016-01-14,1737.83333333333
2016-01-15,1635.45833333333
2016-01-16,1945.75
2016-01-17,1345.25
2016-01-18,2234.33333333333
2016-01-19,739
2016-01-20,821.375
2016-01-21,738.333333333333
2016-01-22,461.333333333333
2016-01-23,1032.375
2016-01-24,2950.45833333333
2016-01-25,1414.625
2016-01-26,222.083333333333
2016-01-27,615.041666666667
2016-01-28,1383.33333333333
2016-01-29,1157.625
2016-01-30,1221.41666666667
2016-01-31,1627.58333333333
2016-02-01,451.625
2016-02-02,988.833333333333
2016-02-03,2293.66666666667
2016-02-04,2684
2016-02-05,1027.375
2016-02-06,2657.08333333333
2016-02-07,2816.58333333333
2016-02-08,2389.45833333333
2016-02-09,3639.70833333333
2016-02-10,3611.91666666667
2016-02-11,3273.29166666667
2016-02-12,3923.375
2016-02-13,3900.20833333333
2016-02-14,3654.20833333333
2016-02-15,3322.875
2016-02-16,1259.125
2016-02-17,1101.125
2016-02-18,1774.08333333333
2016-02-19,1240.29166666667
2016-02-20,1301.75
2016-02-21,1457.58333333333
2016-02-22,706.333333333333
2016-02-23,1003.66666666667
2016-02-24,2109.66666666667
2016-02-25,1626.41666666667
2016-02-26,2418.29166666667
2016-02-27,2666.125
2016-02-28,2889.33333333333
2016-02-29,1570.58333333333
2016-03-01,701.583333333333
2016-03-02,2160
2016-03-03,1974.16666666667
