"date","smoothed_capacity"
2015-09-04,4508.9698630137
2015-09-05,4509.32876712329
2015-09-06,4509.68767123288
2015-09-07,4510.04657534247
2015-09-08,4510.40547945205
2015-09-09,4510.76438356164
2015-09-10,4511.12328767123
2015-09-11,4511.48219178082
2015-09-12,4511.84109589041
2015-09-13,4512.2
2015-09-14,4512.55890410959
2015-09-15,4512.91780821918
2015-09-16,4513.27671232877
2015-09-17,4513.63561643836
2015-09-18,4513.99452054795
2015-09-19,4514.35342465753
2015-09-20,4514.71232876712
2015-09-21,4515.07123287671
2015-09-22,4515.4301369863
2015-09-23,4515.78904109589
2015-09-24,4516.14794520548
2015-09-25,4516.50684931507
2015-09-26,4516.86575342466
2015-09-27,4517.22465753425
2015-09-28,4517.58356164384
2015-09-29,4517.94246575342
2015-09-30,4518.30136986301
2015-10-01,4518.6602739726
2015-10-02,4519.01917808219
2015-10-03,4519.37808219178
2015-10-04,4519.73698630137
2015-10-05,4520.09589041096
2015-10-06,4520.45479452055
2015-10-07,4520.81369863014
2015-10-08,4521.17260273973
2015-10-09,4521.53150684932
2015-10-10,4521.8904109589
2015-10-11,4522.24931506849
2015-10-12,4522.60821917808
2015-10-13,4522.96712328767
2015-10-14,4523.32602739726
2015-10-15,4523.68493150685
2015-10-16,4524.04383561644
2015-10-17,4524.40273972603
2015-10-18,4524.76164383562
2015-10-19,4525.12054794521
2015-10-20,4525.47945205479
2015-10-21,4525.83835616438
2015-10-22,4526.19726027397
2015-10-23,4526.55616438356
2015-10-24,4526.91506849315
2015-10-25,4527.27397260274
2015-10-26,4527.63287671233
2015-10-27,4527.99178082192
2015-10-28,4528.35068493151
2015-10-29,4528.7095890411
2015-10-30,4529.06849315068
2015-10-31,4529.42739726027
2015-11-01,4529.78630136986
2015-11-02,4530.14520547945
2015-11-03,4530.50410958904
2015-11-04,4530.86301369863
2015-11-05,4531.22191780822
2015-11-06,4531.58082191781
2015-11-07,4531.9397260274
2015-11-08,4532.29863013699
2015-11-09,4532.65753424658
2015-11-10,4533.01643835616
