"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","197","2","561","197","0","n/e","1849"
"BZN|PT","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","128","2","577","74","0","n/e","1869"
"BZN|PT","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","1","48","374","104","0","n/e","2131"
"BZN|PT","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","0","170","371","98","0","n/e","2227"
"BZN|PT","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","0","120","311","69","0","n/e","2172"
"BZN|PT","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","0","632","237","68","0","n/e","2533"
"BZN|PT","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","0","643","401","68","0","n/e","2668"
"BZN|PT","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","0","675","499","67","0","n/e","2904"
"BZN|PT","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","0","907","438","69","0","n/e","3203"
"BZN|PT","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","0","992","559","80","12","n/e","3241"
"BZN|PT","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","0","960","630","106","42","n/e","3494"
"BZN|PT","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","0","544","629","108","73","n/e","3712"
"BZN|PT","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","0","439","668","71","87","n/e","3916"
"BZN|PT","01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","0","817","579","109","59","n/e","4058"
