"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","309","78","343","42","0","25","2405"
"BZN|PT","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","256","666","340","50","0","25","2312"
"BZN|PT","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","26","732","197","51","0","25","2228"
"BZN|PT","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","0","1104","175","44","0","25","2155"
"BZN|PT","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","0","1254","146","46","0","25","2237"
"BZN|PT","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","0","1484","143","45","0","25","2367"
"BZN|PT","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","0","1623","188","48","0","25","2425"
"BZN|PT","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","0","1705","320","46","0","25","2451"
"BZN|PT","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","0","1544","347","41","2","25","2569"
"BZN|PT","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","0","1952","178","52","116","25","2717"
"BZN|PT","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","0","1749","186","67","410","25","2682"
"BZN|PT","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","0","1435","182","34","629","25","2471"
"BZN|PT","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","0","1416","155","35","711","25","2319"
"BZN|PT","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","0","1726","154","35","712","25","2308"
"BZN|PT","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","0","1742","154","33","660","25","2229"
