"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","334","8","1283","390","0","0","3006"
"BZN|PT","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","333","11","1216","342","0","0","2837"
"BZN|PT","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","176","19","935","326","0","0","2653"
"BZN|PT","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","0","358","939","132","0","0","2469"
"BZN|PT","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","0","728","586","140","0","0","2382"
"BZN|PT","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","0","785","603","142","0","0","2241"
"BZN|PT","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","0","684","487","242","0","0","2112"
"BZN|PT","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","0","659","413","248","0","0","1966"
"BZN|PT","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","0","657","669","247","1","0","1802"
"BZN|PT","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","0","684","726","296","83","0","1608"
"BZN|PT","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","0","677","891","381","277","0","1422"
"BZN|PT","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","117","651","1034","381","431","0","1348"
"BZN|PT","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","27","347","995","301","415","0","1400"
"BZN|PT","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","127","348","1103","557","291","0","1522"
"BZN|PT","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","168","709","1109","832","279","0","1762"
"BZN|PT","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","58","739","1199","339","260","0","1877"
"BZN|PT","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","233","713","1151","232","251","0","2148"
"BZN|PT","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","283","22","1250","238","118","0","2170"
"BZN|PT","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","877","2","1472","463","3","0","2155"
"BZN|PT","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","1047","1","1650","506","0","0","2297"
"BZN|PT","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","1096","1","1768","387","0","0","2317"
"BZN|PT","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","1027","1","1900","437","0","0","2247"
"BZN|PT","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","1021","1","1849","276","0","0","2066"
"BZN|PT","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","708","2","1483","242","0","0","1940"
"BZN|PT","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","204","13","743","195","0","0","1825"
"BZN|PT","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","0","562","497","184","0","0","1878"
"BZN|PT","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","0","715","441","173","0","0","1815"
"BZN|PT","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","0","1141","396","171","0","0","1795"
