"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","377","102","262","46","0","n/e","1502"
"BZN|PT","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","369","65","279","79","0","n/e","1603"
"BZN|PT","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","339","255","248","79","0","n/e","1559"
"BZN|PT","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","602","668","179","119","0","n/e","1543"
"BZN|PT","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","273","759","172","67","0","n/e","1797"
"BZN|PT","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","48","895","168","67","0","n/e","2014"
"BZN|PT","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","0","1361","158","67","0","n/e","2454"
"BZN|PT","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","0","1675","160","70","0","n/e","2869"
"BZN|PT","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","0","1919","158","70","0","n/e","3116"
"BZN|PT","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","0","1790","189","73","41","n/e","3058"
"BZN|PT","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","0","1728","204","127","147","n/e","3120"
"BZN|PT","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","0","1966","217","113","229","n/e","3305"
"BZN|PT","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","0","1605","218","113","259","n/e","3336"
"BZN|PT","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","0","1409","240","66","256","n/e","3362"
"BZN|PT","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","0","1430","200","61","223","n/e","3323"
"BZN|PT","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","0","1364","199","66","202","n/e","3264"
"BZN|PT","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","0","1300","197","66","138","n/e","3015"
"BZN|PT","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","74","1159","197","66","55","n/e","2839"
"BZN|PT","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","119","1051","223","102","1","n/e","2678"
"BZN|PT","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","351","403","219","113","0","n/e","2696"
"BZN|PT","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","424","385","215","117","0","n/e","2617"
"BZN|PT","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","328","70","220","81","0","n/e","2589"
"BZN|PT","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","412","72","207","46","0","n/e","2613"
"BZN|PT","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","338","433","136","46","0","n/e","2730"
"BZN|PT","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","107","1107","241","46","0","n/e","2778"
"BZN|PT","02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","165","1246","274","75","0","n/e","2856"
"BZN|PT","02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","0","1103","165","69","0","n/e","2825"
"BZN|PT","02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","0","1210","132","66","0","n/e","2718"
"BZN|PT","02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","0","1270","132","39","0","n/e","2554"
"BZN|PT","02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","0","1073","123","39","0","n/e","2395"
"BZN|PT","02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","74","878","170","40","0","n/e","2260"
"BZN|PT","02.01.2018 07:00 - 02.01.2018 08:00 (CET/CEST)","28","202","383","85","0","n/e","2414"
"BZN|PT","02.01.2018 08:00 - 02.01.2018 09:00 (CET/CEST)","991","188","448","109","0","n/e","2588"
"BZN|PT","02.01.2018 09:00 - 02.01.2018 10:00 (CET/CEST)","1205","52","445","169","42","n/e","2724"
"BZN|PT","02.01.2018 10:00 - 02.01.2018 11:00 (CET/CEST)","1400","0","420","251","145","n/e","2945"
"BZN|PT","02.01.2018 11:00 - 02.01.2018 12:00 (CET/CEST)","1225","1","375","233","208","n/e","2883"
"BZN|PT","02.01.2018 12:00 - 02.01.2018 13:00 (CET/CEST)","1105","1","358","206","245","n/e","2785"
"BZN|PT","02.01.2018 13:00 - 02.01.2018 14:00 (CET/CEST)","1092","1","322","173","239","n/e","2801"
"BZN|PT","02.01.2018 14:00 - 02.01.2018 15:00 (CET/CEST)","892","2","211","107","191","n/e","2688"
"BZN|PT","02.01.2018 15:00 - 02.01.2018 16:00 (CET/CEST)","591","3","222","62","155","n/e","2479"
"BZN|PT","02.01.2018 16:00 - 02.01.2018 17:00 (CET/CEST)","559","4","233","87","104","n/e","2319"
"BZN|PT","02.01.2018 17:00 - 02.01.2018 18:00 (CET/CEST)","1262","1","244","102","29","n/e","2225"
"BZN|PT","02.01.2018 18:00 - 02.01.2018 19:00 (CET/CEST)","1466","1","268","132","1","n/e","2183"
"BZN|PT","02.01.2018 19:00 - 02.01.2018 20:00 (CET/CEST)","1666","1","323","144","0","n/e","2190"
"BZN|PT","02.01.2018 20:00 - 02.01.2018 21:00 (CET/CEST)","1629","1","449","353","0","n/e","2290"
"BZN|PT","02.01.2018 21:00 - 02.01.2018 22:00 (CET/CEST)","1384","1","443","131","0","n/e","2349"
"BZN|PT","02.01.2018 22:00 - 02.01.2018 23:00 (CET/CEST)","1331","1","414","103","0","n/e","2356"
"BZN|PT","02.01.2018 23:00 - 03.01.2018 00:00 (CET/CEST)","726","155","237","13","0","n/e","2351"
"BZN|PT","03.01.2018 00:00 - 03.01.2018 01:00 (CET/CEST)","198","749","199","66","0","n/e","2399"
"BZN|PT","03.01.2018 01:00 - 03.01.2018 02:00 (CET/CEST)","256","1140","200","68","0","n/e","2572"
"BZN|PT","03.01.2018 02:00 - 03.01.2018 03:00 (CET/CEST)","69","1261","208","68","0","n/e","2615"
"BZN|PT","03.01.2018 03:00 - 03.01.2018 04:00 (CET/CEST)","0","1456","249","68","0","n/e","2576"
"BZN|PT","03.01.2018 04:00 - 03.01.2018 05:00 (CET/CEST)","0","1452","267","70","0","n/e","2342"
"BZN|PT","03.01.2018 05:00 - 03.01.2018 06:00 (CET/CEST)","1","1202","339","71","0","n/e","2020"
"BZN|PT","03.01.2018 06:00 - 03.01.2018 07:00 (CET/CEST)","70","776","255","68","0","n/e","1776"
"BZN|PT","03.01.2018 07:00 - 03.01.2018 08:00 (CET/CEST)","235","583","270","62","0","n/e","1535"
"BZN|PT","03.01.2018 08:00 - 03.01.2018 09:00 (CET/CEST)","1567","41","393","91","0","n/e","1405"
"BZN|PT","03.01.2018 09:00 - 03.01.2018 10:00 (CET/CEST)","1571","1","503","177","13","n/e","1496"
"BZN|PT","03.01.2018 10:00 - 03.01.2018 11:00 (CET/CEST)","1623","1","554","308","64","n/e","1588"
"BZN|PT","03.01.2018 11:00 - 03.01.2018 12:00 (CET/CEST)","1421","1","605","295","91","n/e","1694"
