"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","619","2","1038","1046","0","n/e","513"
"BZN|PT","01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","554","1","967","705","0","n/e","513"
"BZN|PT","01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","308","9","568","474","0","n/e","551"
"BZN|PT","01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","0","154","392","401","0","n/e","597"
"BZN|PT","01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","0","400","404","168","0","n/e","706"
"BZN|PT","01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","0","673","410","152","0","n/e","721"
"BZN|PT","01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","0","817","569","125","0","n/e","765"
"BZN|PT","01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","0","441","632","249","0","n/e","726"
"BZN|PT","01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","17","764","534","419","0","n/e","866"
"BZN|PT","01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","22","662","754","384","51","n/e","845"
"BZN|PT","01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","22","102","759","259","177","n/e","801"
"BZN|PT","01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","22","25","636","267","253","n/e","777"
"BZN|PT","01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","154","20","665","296","279","n/e","623"
"BZN|PT","01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","189","19","690","293","290","n/e","352"
"BZN|PT","01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","226","21","548","645","283","n/e","218"
"BZN|PT","01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","169","242","492","433","258","n/e","132"
"BZN|PT","01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","179","113","332","469","196","n/e","89"
"BZN|PT","01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","303","2","441","786","75","n/e","114"
"BZN|PT","01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","935","0","844","1184","2","n/e","167"
"BZN|PT","01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","1130","0","1012","1240","0","n/e","223"
"BZN|PT","01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","1142","0","997","1244","0","n/e","274"
"BZN|PT","01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","1100","0","1072","1240","0","n/e","240"
"BZN|PT","01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","1091","0","996","1245","0","n/e","226"
"BZN|PT","01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST)","969","0","1060","881","0","n/e","188"
"BZN|PT","02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST)","123","11","990","468","0","n/e","151"
"BZN|PT","02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST)","58","319","734","287","0","n/e","145"
"BZN|PT","02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST)","14","879","824","271","0","n/e","188"
"BZN|PT","02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST)","1","835","482","216","0","n/e","244"
"BZN|PT","02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST)","2","795","548","209","0","n/e","289"
"BZN|PT","02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST)","21","656","595","202","0","n/e","303"
"BZN|PT","02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST)","21","637","792","432","0","n/e","344"
"BZN|PT","02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST)","206","44","973","288","0","n/e","416"
"BZN|PT","02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST)","292","18","872","397","0","n/e","471"
"BZN|PT","02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST)","712","0","948","872","52","n/e","504"
"BZN|PT","02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST)","955","0","1063","1043","178","n/e","489"
"BZN|PT","02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST)","628","0","1075","1104","250","n/e","367"
"BZN|PT","02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST)","634","1","1154","1102","276","n/e","178"
"BZN|PT","02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST)","565","1","1153","966","283","n/e","76"
"BZN|PT","02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST)","514","1","1142","622","268","n/e","25"
"BZN|PT","02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST)","553","1","1203","645","246","n/e","22"
"BZN|PT","02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST)","768","1","1183","642","189","n/e","43"
"BZN|PT","02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST)","536","1","1135","647","74","n/e","106"
"BZN|PT","02.01.2015 18:00 - 02.01.2015 19:00 (CET/CEST)","890","0","1397","1178","3","n/e","235"
"BZN|PT","02.01.2015 19:00 - 02.01.2015 20:00 (CET/CEST)","1016","0","1457","1177","0","n/e","274"
"BZN|PT","02.01.2015 20:00 - 02.01.2015 21:00 (CET/CEST)","1025","0","1554","1179","0","n/e","277"
"BZN|PT","02.01.2015 21:00 - 02.01.2015 22:00 (CET/CEST)","849","0","1464","1169","0","n/e","235"
"BZN|PT","02.01.2015 22:00 - 02.01.2015 23:00 (CET/CEST)","429","1","1441","781","0","n/e","275"
"BZN|PT","02.01.2015 23:00 - 03.01.2015 00:00 (CET/CEST)","371","1","1399","632","0","n/e","274"
"BZN|PT","03.01.2015 00:00 - 03.01.2015 01:00 (CET/CEST)","30","8","990","454","0","n/e","285"
"BZN|PT","03.01.2015 01:00 - 03.01.2015 02:00 (CET/CEST)","30","40","587","255","0","n/e","265"
