" date";"pressure_msl";"temperature_c";"windspeed_100m"
2015-01-01;1035,91666666667;5,38333333333333;10,625
2015-01-02;1038,15416666667;5,8;9,01666666666667
2015-01-03;1038,1125;6,1;4,8625
2015-01-04;1034,15;6,425;9,4875
2015-01-05;1029,60833333333;5,175;7,14583333333333
2015-01-06;1029;3,94166666666667;5,20833333333333
2015-01-07;1032,75;2,30416666666667;12,5166666666667
2015-01-08;1039,5375;2,09583333333333;11,375
2015-01-09;1042,92083333333;3,7;12,7083333333333
2015-01-10;1036,5125;5,86666666666667;7,00833333333333
2015-01-11;1033,65416666667;4,875;9,77916666666667
2015-01-12;1030,44166666667;4,07083333333333;9,64166666666667
2015-01-13;1025,55416666667;5,5625;13,7708333333333
2015-01-14;1026,17916666667;6,33333333333333;9,525
2015-01-15;1014,79166666667;6,54166666666667;23,8125
2015-01-16;1018,65;4,02916666666667;14,425
2015-01-17;1023,59166666667;2,81666666666667;10,2791666666667
2015-01-18;1012,07916666667;4,27083333333333;14,2916666666667
2015-01-19;1018,07083333333;3,60833333333333;15,35
2015-01-20;1013,5375;3,80416666666667;9,91666666666667
2015-01-21;1016,04583333333;3,075;17,9291666666667
2015-01-22;1021,15;4,49166666666667;13,6166666666667
2015-01-23;1026,5125;7,325;6,15416666666667
2015-01-24;1029,825;5,54583333333333;8,73333333333333
2015-01-25;1030,7125;5,55833333333333;9,35833333333333
2015-01-26;1030,63333333333;5,2875;8,18333333333333
2015-01-27;1030,875;5,7875;8,4
2015-01-28;1028,07916666667;5,68333333333333;10,4875
2015-01-29;1019,15;8,47083333333333;20,7458333333333
2015-01-30;1007,52083333333;10,6083333333333;37,7125
2015-01-31;1008,275;6,12083333333333;25,375
2015-02-01;1020,20416666667;3,3625;15,8208333333333
2015-02-02;1011,74166666667;5,7375;23,2875
2015-02-03;1008,2375;5,5125;22,6583333333333
2015-02-04;1014,7875;2,10416666666667;16,15
2015-02-05;1021,89583333333;2,45416666666667;12,2791666666667
2015-02-06;1016,87916666667;2,41666666666667;10,8166666666667
2015-02-07;1019,72083333333;3,075;14,5041666666667
2015-02-08;1025,64583333333;2,2;19,3416666666667
2015-02-09;1022,275;3,92083333333333;27,25
2015-02-10;1021,55833333333;4,30416666666667;15,2833333333333
2015-02-11;1019,70416666667;6,9;6,1
2015-02-12;1020,18333333333;7,34166666666667;7,77916666666667
2015-02-13;1022,3875;7,0625;17,55
2015-02-14;1019,12083333333;7,84583333333333;21,9208333333333
2015-02-15;1018,3125;8,95416666666667;19,0041666666667
2015-02-16;1024,65833333333;7,24166666666667;12,55
2015-02-17;1032,15833333333;6,2625;22,8416666666667
2015-02-18;1033,07916666667;4,06666666666667;23,2958333333333
2015-02-19;1030,175;6,23333333333333;10,7583333333333
2015-02-20;1021,79583333333;6,97916666666667;11,0458333333333
2015-02-21;1015,475;8,02916666666667;15,2583333333333
2015-02-22;1020,9875;5,45833333333333;9,22916666666667
2015-02-23;1021,0125;7,61666666666667;24,3083333333333
2015-02-24;1031,3125;5,875;19,7375
2015-02-25;1034,69166666667;7,22083333333333;14,4208333333333
2015-02-26;1030,68333333333;8,32083333333333;13,4333333333333
2015-02-27;1028,00833333333;8,30416666666667;11,9208333333333
2015-02-28;1027,90416666667;8,28333333333333;11,225
2015-03-01;1027,0125;9,925;14,775
2015-03-02;1026,4;11,0166666666667;13,8291666666667
2015-03-03;1026,1875;11,125;11,5541666666667
2015-03-04;1031,8;10,3375;15,4583333333333
2015-03-05;1033,02916666667;6,41666666666667;28,2
